,30-39,50-59,60-69
ENSG00000240364.1,0.0,0.0,0.0
ENSG00000285831.1,0.0,0.41093569184989254,0.0
ENSG00000101311.16,0.0872726475006283,0.16550458008278363,0.6229087577107169
ENSG00000131482.10,0.03638373806101946,0.006474496006017856,0.5984816171415078
ENSG00000222514.1,0.0,0.0,0.0
ENSG00000232382.2,0.0,0.4317894523941953,0.0
ENSG00000267898.1,0.7813671118014764,0.4184685075290871,0.26161126987837335
ENSG00000253116.1,0.5,0.08945810144277688,0.0
ENSG00000204314.12,0.7118642513605583,0.5516156294941215,0.024983940241907587
ENSG00000272267.2,0.7172195014829572,0.29662683451467214,0.027857040805797425
ENSG00000089685.15,0.34484734484734486,0.6207418707418707,0.33453333453333456
ENSG00000141378.15,0.6986833293150096,0.6942785769776848,0.3174368453481207
ENSG00000254852.8,0.7048416599977135,0.24986939043552475,0.01066146266759899
ENSG00000238812.1,0.0,0.0,0.0
ENSG00000228793.3,0.5386116877947849,0.36174950802757544,0.01386398401280307
ENSG00000268433.1,0.5,0.5165818245944039,0.047063249470961674
ENSG00000183690.13,0.6224002721632347,0.6060689655493376,0.09739457688692822
ENSG00000126266.3,0.0,0.4288668574543472,0.43302671027527934
ENSG00000232893.1,0.2996472719296383,0.29965788561279866,0.5
ENSG00000250480.3,0.0,0.0,0.0
ENSG00000270069.2,0.4377538320175812,0.84845722164249,0.09794122273925955
ENSG00000075914.13,0.8786319001650458,0.4010422232512853,0.1521657820681794
ENSG00000211747.3,0.038617900321823086,0.32844579020614073,0.04823780116552144
ENSG00000185238.13,0.6429158635831602,0.8011982966692817,0.07814493349340698
ENSG00000250915.2,0.0,0.0,0.0
ENSG00000069493.15,0.5164628581304598,0.6545843276137574,0.023883348544434108
ENSG00000151726.15,0.7459333639390002,0.17589744329536475,0.43927094585936727
ENSG00000254812.2,0.6447567668926963,0.5375743061443501,0.22226482902082828
ENSG00000262135.1,0.0,0.25,0.0
ENSG00000181693.9,0.0,0.0,0.0
ENSG00000167491.18,0.9578336204611715,0.4844702491386166,0.31646733368672136
ENSG00000227220.1,0.7901921716520306,0.09121150592752139,0.12082695688917094
ENSG00000111642.16,0.9520305806557552,0.6510970303150311,0.35443520928817396
ENSG00000271086.7,0.8922121718797145,0.3993041587046164,0.08737931207884946
ENSG00000074695.6,0.7753896195179049,0.8065465896995919,0.1571641507010139
ENSG00000235258.1,0.5,0.3642009275241438,0.12082720325598816
ENSG00000197181.12,0.6281112847340173,0.4780902235206196,0.1531286092805218
ENSG00000007341.19,0.8770223355874152,0.7123601115485904,0.09376341971967983
ENSG00000257829.1,0.6727316401978158,0.4051962459675126,0.0
ENSG00000255967.1,0.2153783974063676,0.35313904268541774,0.27518665635240025
ENSG00000252587.1,0.0,0.0,0.0
ENSG00000167283.9,0.3478623698009502,0.4566032874652424,0.5
ENSG00000204283.4,0.0,0.25,0.0
ENSG00000124795.17,0.5438521991241789,0.7127834073847807,0.23029828174154968
ENSG00000207168.1,0.0,0.4735847040392771,0.3376642347215877
ENSG00000278698.1,0.9307500067180824,0.1741125413162067,0.3337274608335796
ENSG00000289619.1,0.5,0.20210205712003193,0.0
ENSG00000149792.9,0.6265202217824177,0.19206538653291239,0.5
ENSG00000235150.1,0.0,0.25,0.0
ENSG00000245928.2,0.5,0.0,0.0
ENSG00000164366.4,0.9720687164755621,0.5305097743262653,0.20630868044566703
ENSG00000224578.5,0.05709967853407987,0.7983663836320638,0.37955777349494785
ENSG00000288045.1,0.8224917018688981,0.5142630519208535,0.12480435774199711
ENSG00000265400.1,0.0,0.0,0.0
ENSG00000252695.1,0.0,0.0,0.0
ENSG00000207507.1,0.3909845749093011,0.25,0.4483875292205344
ENSG00000137868.19,0.034234544396553004,0.37644673979146925,0.5376340239394514
ENSG00000260761.1,0.5,0.14868084491934486,0.0
